ML_mean,ML_max,ML_count,depth_mean,depth_max,lat_mean,lon_mean
3.3199999999999994,3.78,5,20.776,37.07,24.0236,121.74802
3.15,3.15,1,18.67,18.67,23.0618,121.3312
3.3240000000000003,3.76,5,26.486,37.13,23.60494,121.54762000000001
3.5825,4.05,4,21.2375,26.12,21.962600000000002,121.53885
3.6257142857142854,5.25,7,28.747142857142858,48.6,23.26984285714286,121.01468571428572
3.388333333333333,4.17,6,22.054999999999996,41.5,23.285016666666667,121.32626666666665
3.7733333333333334,4.15,6,28.13333333333333,46.91,23.436716666666666,121.05398333333333
3.41,4.33,4,21.04,41.33,24.207900000000002,121.9499
3.4775,4.05,4,23.79,39.25,22.77055,121.85034999999999
3.07,3.07,1,8.55,8.55,22.5635,121.0258
3.347142857142857,3.58,7,16.984285714285715,24.26,23.29047142857143,121.06071428571428
3.71,4.47,4,21.395,38.21,23.5852,121.301425
3.77,5.72,12,16.43916666666667,44.88,22.967249999999996,121.22674166666667
3.545714285714286,4.22,7,7.181428571428571,11.61,23.4166,121.02342857142857
3.58,3.58,1,15.25,15.25,23.062,120.5493
3.4166666666666665,3.74,3,20.58666666666667,26.26,23.0989,121.1972
3.304,3.75,5,22.753999999999998,46.15,22.70816,121.05186
3.17,3.17,1,36.52,36.52,24.1753,121.6078
3.4362500000000002,4.02,8,16.6725,38.68,22.4173625,121.155575
3.426666666666667,3.93,3,23.590000000000003,37.17,22.395333333333337,121.37103333333333
3.6725,4.52,8,24.325,49.65,23.432675,121.3890375
3.3857142857142857,3.98,7,21.28,40.97,23.513885714285713,121.27038571428571
3.8833333333333333,4.49,3,20.903333333333332,35.48,23.1711,121.34763333333335
3.4450000000000003,3.54,2,15.49,21.16,23.7236,120.9137
3.856666666666667,5.23,3,21.026666666666667,34.8,24.192700000000002,121.8035
3.575,3.99,2,18.135,24.71,23.456699999999998,121.58385
3.2824999999999998,3.63,4,30.17,40.09,23.311475,121.62225000000001
3.26,3.26,1,25.73,25.73,23.9325,121.5972
3.04,3.06,2,10.0,12.68,22.551949999999998,121.22135
3.215,3.26,4,20.369999999999997,26.15,23.0352,121.13804999999999
3.1500000000000004,3.2,2,23.685000000000002,25.75,23.131549999999997,121.53960000000001
3.442,3.8,5,20.712,41.3,22.95118,121.80555999999999
3.5999999999999996,4.97,4,29.4225,45.97,23.29025,121.375125
3.6154545454545453,4.98,11,16.47,47.89,22.890545454545453,120.51467272727272
3.5814285714285714,4.4,7,18.22714285714286,31.48,23.569114285714285,121.10711428571427
4.1275,4.28,4,32.1075,38.92,23.513849999999998,121.724225
3.38,3.79,5,21.226,44.4,23.37904,121.80642
3.1833333333333336,3.26,3,25.096666666666664,43.22,23.4763,120.77683333333334
3.58,3.73,3,24.133333333333336,33.6,24.301233333333332,122.21686666666666
3.04,3.04,1,19.75,19.75,23.8298,121.414
4.0225,4.94,4,29.6625,45.32,23.670875,121.701575
3.5519999999999996,3.83,5,24.95,41.03,23.77168,121.8249
3.118,3.19,5,21.674,42.72,23.21482,120.69494
3.4125,3.96,4,25.759999999999998,31.12,23.9193,121.834125
3.742,4.59,5,24.814,48.88,24.15824,121.8454
3.31,3.66,5,24.482000000000003,45.13,23.23034,121.57185999999999
3.7525,4.65,8,16.17375,46.46,23.242525,121.3129625
3.332,4.1,5,20.694,34.56,23.68128,121.40422000000001
3.11,3.2,4,26.8625,37.74,23.5005,121.5853
3.5225,3.74,4,14.8625,27.46,24.2123,121.861025
3.51,3.51,1,7.92,7.92,23.2498,120.5035
3.18,3.18,1,14.7,14.7,21.9133,121.0175
3.38,3.71,4,27.1475,49.44,23.428874999999998,121.4293
3.6900000000000004,4.32,2,29.225,33.97,24.0776,122.0576
3.580909090909091,4.87,11,20.518181818181816,42.87,23.368054545454548,121.11184545454545
4.26,4.26,1,40.13,40.13,21.3418,121.2873
3.04,3.04,1,18.58,18.58,23.9678,121.4817
3.9,4.67,2,23.3,27.48,23.95125,122.3232
